"origin" "dev" "mu" "sigma" "exp_cumulative" "sim_cumulative" "premium"
"36" 6 4 12.1092888051953 0.000774365005023481 181550.495300561 181683.612384376 243614.500575093
"37" 7 4 11.7852140428382 0.000774365005023481 131296.623318327 131293.908382124 216966.568939138
"38" 8 4 11.8280939244665 0.000774365005023481 137049.057449555 137061.779399249 197976.268108936
"39" 1 5 11.7595012249518 0.000677431000166595 127963.641837537 128075.392618215 187498.552110236
"40" 2 5 11.8625392482589 0.000677431000166595 141851.991230274 141986.84171684 209638.067805761
"41" 3 5 11.8765994267492 0.000677431000166595 143860.542753769 143759.415913861 217899.496097439
"42" 4 5 11.9049790606296 0.000677431000166595 148001.737136474 147993.281230634 218391.248298398
"43" 5 5 12.0535485963154 0.000677431000166595 171707.688706899 171834.531988039 234357.926976733
"44" 6 5 12.1534940463424 0.000677431000166595 189755.992502267 189903.493886978 243614.500575093
"45" 7 5 11.8214620183336 0.000677431000166595 136143.158591929 136295.316443665 216966.568939138
"46" 1 6 11.7647688964557 0.000528083390189615 128639.479199305 128620.064805589 187498.552110236
"47" 2 6 11.8726450668885 0.000528083390189615 143292.776788493 143254.481091082 209638.067805761
"48" 3 6 11.8959 0.000528083390189615 146664.088613414 146514.732976091 217899.496097439
"49" 4 6 11.9230631934956 0.000528083390189615 150702.554133022 150819.757572973 218391.248298398
"50" 5 6 12.060775602504 0.000528083390189615 172953.100601843 172940.931192822 234357.926976733
"51" 6 6 12.1652256971788 0.000528083390189615 191995.235695257 192026.621208613 243614.500575093
"52" 1 7 11.8035979816782 0.000392253332310744 133732.666300907 133727.317178848 187498.552110236
"53" 2 7 11.9086793347002 0.000392253332310744 148550.375942019 148625.103016817 209638.067805761
"54" 3 7 11.9111 0.000392253332310744 148910.402258138 148870.333464461 217899.496097439
"55" 4 7 11.9342 0.000392253332310744 152390.270286372 152306.825654854 218391.248298398
"56" 5 7 12.0800122115311 0.000392253332310744 176312.327340441 176259.910638457 234357.926976733
"57" 1 8 11.8298749932691 0.000264808941338845 137293.332403638 137249.550711706 187498.552110236
"58" 2 8 11.9294 0.000264808941338845 151660.543369477 151619.724201781 209638.067805761
"59" 3 8 11.9391 0.000264808941338845 153138.80863589 153126.077016672 217899.496097439
"60" 4 8 11.9567 0.000264808941338845 155857.909567382 155879.162113988 218391.248298398
"61" 1 9 11.8468071449649 0.000250381182940407 139637.79581274 139652.120921134 187498.552110236
"62" 2 9 11.9401 0.000250381182940407 153292.023469747 153318.707622418 209638.067805761
"63" 3 9 11.9526 0.000250381182940407 155220.199758527 155180.524322804 217899.496097439
"64" 1 10 11.8511 0.000119619216649047 140238.52574306 140224.85570512 187498.552110236
"65" 2 10 11.9455 0.000119619216649047 154122.035694254 154132.171263503 209638.067805761
"66" 1 11 11.8541806779208 0.0000595160127843108 140671.220871804 140668.359868585 187498.552110236
